market,stockName,stockCode,curr,prevClosed,open,increase,highest,lowest,turnOver,amp,tm
CN,白云机场,sh600004,9.59,9.6,9.61,-0.1,9.64,9.57,0.42,0.73,226.97
CN,武钢股份,sh600005,3.71,3.71,0,0,0,0,0,0,374.48
CN,齐鲁石化,sh600002,10.09,10.09,0,0,0,0,0,0,35.31
CN,ST东北高,sh600003,3.87,3.87,0,0,0,0,0,0,33.24
CN,邯郸钢铁,sh600001,5.29,5.29,0,0,0,0,0,0,148.99
CN,东风股份,sh600006,7.71,7.77,7.74,-0.77,7.85,7.68,1.53,2.19,154.2
CN,中国国贸,sh600007,20.41,20.53,20.54,-0.58,20.66,20.4,0.11,1.27,205.59
CN,XD上海机,sh600009,31.56,31.67,31.67,-0.35,31.75,31.55,0.21,0.63,645.81
CN,包钢股份,sh600010,2.73,2.77,2.72,-1.44,2.82,2.68,4.26,5.05,856.7
CN,首创环保,sh600008,3.31,3.32,3.33,-0.3,3.37,3.3,0.91,2.11,242.97
CN,皖通高速,sh600012,14.44,14.37,14.38,0.49,14.54,14.31,0.4,1.6,168.31
CN,华能国际,sh600011,7.45,7.42,7.4,0.4,7.47,7.35,0.3,1.62,819.33
CN,华夏银行,sh600015,6.78,6.78,6.77,0,6.86,6.76,0.5,1.47,1043.25
CN,日照港,sh600017,3.16,3.17,3.17,-0.32,3.19,3.15,0.71,1.26,97.19
CN,民生银行,sh600016,4.02,4.03,4.02,-0.25,4.06,4,0.83,1.49,1425.58
CN,宝钢股份,sh600019,7.15,7.25,7.23,-1.38,7.25,7.13,0.22,1.66,1557.42
CN,上港集团,sh600018,5.58,5.57,5.57,0.18,5.6,5.56,0.07,0.72,1295.37
CN,中原高速,sh600020,4.4,4.4,4.4,0,4.42,4.39,0.4,0.68,98.88
CN,山东钢铁,sh600022,1.59,1.64,1.63,-3.05,1.64,1.59,0.66,3.05,170.11
CN,上海电力,sh600021,23.75,24.23,24.39,-1.98,24.93,23.67,4.08,5.2,670.03
CN,浙能电力,sh600023,5.23,5.24,5.23,-0.19,5.26,5.19,0.36,1.34,701.28
CN,华能水电,sh600025,9.99,9.79,9.8,2.04,10.05,9.79,0.17,2.66,1798.2
CN,中远海能,sh600026,12.49,12.32,12.75,1.38,12.77,12.46,1.03,2.52,434
CN,华电国际,sh600027,5.28,5.26,5.25,0.38,5.3,5.23,0.53,1.33,449.35
CN,中国石化,sh600028,5.42,5.39,5.39,0.56,5.43,5.38,0.08,0.93,5140.43
CN,中信证券,sh600030,29.57,29.69,29.6,-0.4,29.98,29.52,0.96,1.55,3600.61
CN,南方航空,sh600029,6.29,6.3,6.3,-0.16,6.43,6.24,0.47,3.02,797.15
CN,浙江新能,sh600032,7.51,7.56,7.58,-0.66,7.6,7.49,0.14,1.46,180.59
CN,三一重工,sh600031,23.61,23.46,23.47,0.64,23.97,23.28,0.62,2.94,2000.8
CN,福建高速,sh600033,3.43,3.43,3.43,0,3.45,3.42,0.5,0.87,94.13
CN,楚天高速,sh600035,4.04,4.04,4.04,0,4.05,4.03,0.38,0.5,65.05
CN,招商银行,sh600036,41.5,41.5,41.5,0,41.78,41.13,0.28,1.57,8561.01
CN,歌华有线,sh600037,8.13,7.83,7.82,3.83,8.19,7.74,1.83,5.75,113.15
CN,中直股份,sh600038,36.97,38,38.22,-2.71,38.22,36.9,1.82,3.47,247.31
CN,四川路桥,sh600039,8.51,8.58,8.57,-0.82,8.67,8.5,0.19,1.98,571.49
CN,保利发展,sh600048,7.79,7.87,7.84,-1.02,7.87,7.78,0.66,1.14,932.5
CN,中国联通,sh600050,5.49,5.51,5.51,-0.36,5.52,5.47,0.45,0.91,1689.1
CN,宁波联合,sh600051,7.13,7.22,7.24,-1.25,7.24,7.11,0.9,1.8,22.17
CN,东望时代,sh600052,5.21,5.25,5.22,-0.76,5.31,5.2,1.09,2.1,43.98
CN,九鼎投资,sh600053,16.52,16.84,16.68,-1.9,16.78,16.48,0.52,1.78,71.62
CN,黄山旅游,sh600054,11.3,11.37,11.37,-0.62,11.4,11.29,0.59,0.97,58
CN,万东医疗,sh600055,17.38,17.43,17.46,-0.29,17.52,17.28,0.38,1.38,122.19
CN,中国医药,sh600056,11.15,11.3,11.29,-1.33,11.3,11.12,0.88,1.59,166.73
CN,厦门象屿,sh600057,7.76,7.78,7.79,-0.26,7.85,7.72,0.85,1.67,170.14
CN,五矿发展,sh600058,8.97,9.15,9.12,-1.97,9.14,8.97,0.53,1.86,96.15
CN,海信视像,sh600060,24.66,25.2,25.01,-2.14,25.25,24.55,0.88,2.78,320.62
CN,古越龙山,sh600059,10.33,9.96,10.08,3.71,10.55,10.08,3.31,4.72,94.16
CN,国投资本,sh600061,7.85,7.94,7.91,-1.13,7.94,7.83,0.58,1.39,501.93
CN,皖维高新,sh600063,6.29,6.49,6.48,-3.08,6.48,6.28,1.87,3.08,130.15
CN,华润双鹤,sh600062,19.1,19.24,19.19,-0.73,19.3,19.1,0.56,1.04,197.23
CN,*ST联谊,sh600065,1.7,1.7,0,0,0,0,0,0,1.58
CN,南京高科,sh600064,8.45,8.41,8.42,0.48,8.54,8.4,0.96,1.66,146.21
CN,宇通客车,sh600066,29.79,29.71,29.85,0.27,30.03,29.33,0.41,2.36,659.53
CN,冠城新材,sh600067,3.67,3.55,3.36,3.38,3.88,3.36,10.24,14.65,51.07
CN,葛洲坝,sh600068,9.93,9.93,0,0,0,0,0,0,457.25
CN,凤凰光学,sh600071,22.6,23,22.97,-1.74,22.98,22.56,0.94,1.83,63.64
CN,*ST富润,sh600070,0.42,0.42,0,0,0,0,0,0,2.13
CN,退市银鸽,sh600069,0.28,0.28,0,0,0,0,0,0,4.55
CN,中船科技,sh600072,12.07,12.22,12.18,-1.23,12.21,12.06,0.63,1.23,130.76
CN,光明肉业,sh600073,7.02,7.1,7.11,-1.13,7.11,7.01,1.18,1.41,65.83
CN,退市保千,sh600074,0.17,0.17,0,0,0,0,0,0,1.74
CN,新疆天业,sh600075,4.66,4.72,4.73,-1.27,4.75,4.66,0.6,1.91,79.56
CN,康欣新材,sh600076,2.77,2.83,2.84,-2.12,2.84,2.76,1.17,2.83,37.24
CN,*ST宋都,sh600077,0.41,0.41,0,0,0,0,0,0,5.49
CN,澄星股份,sh600078,8.61,8.96,8.57,-3.91,9.25,8.42,12.88,9.26,57.05
CN,金花股份,sh600080,7.37,7.44,7.44,-0.94,7.49,7.36,0.87,1.75,27.51
CN,东风科技,sh600081,12.6,12.71,12.68,-0.87,12.77,12.6,0.36,1.34,69.68
CN,人福医药,sh600079,21.01,21.18,21.18,-0.8,21.3,20.99,0.7,1.46,324.22
