market,stockName,stockCode,curr,prevClosed,open,increase,highest,lowest,turnOver,amp,tm
JP,1375,1375,1050,1055,1057,-0.47393364928909953,1058,1045,0.0651,1.2322274881516588,68.355
JP,1377,1377,3540,3560,3560,-0.5617977528089888,3570,3520,0.0595,1.4044943820224718,210.63
JP,1379,1379,1853,1868,1868,-0.8029978586723768,1873,1846,0.0477,1.4453961456102784,88.3881
JP,1332,1332,1027,1035,1033,-0.7729468599033816,1038,1020.5,0.7204,1.6908212560386473,739.8508
JP,1333,1333,3368,3393,3390,-0.7368110816386678,3393,3347,0.148,1.3557323902151488,498.464
JP,1419,1419,3520,3565,3575,-1.262272089761571,3595,3515,0.1438,2.244039270687237,506.176
JP,1433,1433,1016,1027,1037,-1.071080817916261,1044,1015,0.1196,2.8237585199610513,121.5136
JP,1414,1414,4789,4810,4816,-0.4365904365904366,4824,4781,0.2213,0.893970893970894,1059.8057
JP,1429,1429,888,893,900,-0.5599104143337066,904,886,0.103,2.015677491601344,91.464
JP,1417,1417,2783.5,2829,2801,-1.6083421703782255,2828,2768.5,0.2556,2.1032166843407563,711.4626
JP,1515,1515,1755,1811,1818,-3.0922142462727775,1864,1736,0.3628,7.067918277194921,636.714
JP,1518,1518,1273,1354,1343,-5.982274741506647,1352,1273,0.6491,5.834564254062038,826.3043
JP,1663,1663,3095,3075,3090,0.6504065040650406,3110,3055,0.0757,1.788617886178862,234.2915
JP,1605,1605,2665.5,2641,2660,0.9276789095039758,2683,2633.5,4.1783,1.8742900416508896,11137.25865
JP,1662,1662,1274,1275,1276,-0.0784313725490196,1284,1264,0.8758,1.5686274509803921,1115.7692
JP,1719,1719,1624,1647,1640,-1.3964784456587735,1643,1612,0.6211,1.8822100789313905,1008.6664
JP,1726,1726,332,335,335,-0.8955223880597015,335,332,0.0958,0.8955223880597015,31.8056
JP,167A,167A,2910,2922,2925,-0.41067761806981523,2932,2901,0.1707,1.0609171800136894,496.737
JP,1720,1720,1067,1095,1091,-2.5570776255707766,1095,1062,0.2891,3.0136986301369864,308.4697
JP,1721,1721,3621,3688,3660,-1.816702819956616,3684,3613,0.4027,1.9251626898047725,1458.1767
JP,1762,1762,3275,3350,3340,-2.2388059701492535,3410,3275,0.0323,4.029850746268656,105.7825
JP,1780,1780,1420,1415,1414,0.35335689045936397,1422,1409,0.0149,0.9187279151943463,21.158
JP,1773,1773,97,93,95,4.301075268817205,97,95,0.035,2.1505376344086025,3.395
JP,1766,1766,14350,14580,14580,-1.577503429355281,14600,14280,0.0247,2.194787379972565,354.445
JP,1786,1786,413,418,416,-1.1961722488038278,420,411,0.2917,2.15311004784689,120.4721
JP,1801,1801,9907,9908,9900,-0.010092854259184497,9977,9822,0.5075,1.564392410173597,5027.8025
JP,1812,1812,4195,4232,4200,-0.8742911153119093,4209,4142,1.2881,1.5831758034026464,5403.5795
JP,1802,1802,2331,2392.5,2385,-2.5705329153605017,2394,2325,2.368,2.884012539184953,5519.808
JP,1808,1808,2396,2468,2450,-2.9173419773095626,2456.5,2392,0.9001,2.613452188006483,2156.6396
JP,1803,1803,1979,2038.5,2023,-2.918812852587687,2039.5,1979,2.3596,2.967868530782438,4669.6484
JP,1813,1813,2586,2595,2598,-0.3468208092485549,2615,2559,0.0656,2.157996146435453,169.6416
JP,1820,1820,5070,5150,5140,-1.5533980582524272,5140,5021,0.1543,2.3106796116504853,782.301
JP,1815,1815,3375,3425,3425,-1.4598540145985401,3430,3375,0.0438,1.6058394160583942,147.825
JP,1814,1814,2430,2436,2436,-0.24630541871921183,2456,2402,0.0662,2.2167487684729066,160.866
JP,1821,1821,596,596,596,0,597,596,0.6145,0.16778523489932887,366.242
JP,1833,1833,4620,4680,4665,-1.282051282051282,4675,4600,0.1208,1.6025641025641024,558.096
JP,1835,1835,4180,4260,4245,-1.8779342723004695,4265,4140,0.0637,2.9342723004694835,266.266
JP,1852,1852,828,835,839,-0.8383233532934131,841,821,0.5363,2.3952095808383236,444.0564
JP,1861,1861,1271,1213,1333,4.781533388293488,1333,1256,1.8386,6.347897774113767,2336.8606
JP,1860,1860,992,1012.5,1000,-2.0246913580246915,1004.5,985.5,0.4095,1.876543209876543,406.224
JP,1870,1870,2137,2168,2158,-1.429889298892989,2173,2112,0.1048,2.8136531365313653,223.9576
JP,1871,1871,1785,1788,1795,-0.16778523489932887,1808,1784,0.0782,1.342281879194631,139.587
JP,1879,1879,1781,1808,1800,-1.4933628318584071,1829,1778,0.0606,2.820796460176991,107.9286
JP,1873,1873,311,312,313,-0.3205128205128205,314,311,0.1372,0.9615384615384616,42.6692
JP,1878,1878,3052,3070,3074,-0.5863192182410424,3098,3041,1.4411,1.8566775244299676,4398.2372
JP,1885,1885,2012,2070,2060,-2.8019323671497585,2076,1998,0.2748,3.768115942028986,552.8976
