stockName,stockCode,curr,prevClosed,open,increase,highest,lowest,turnOver,amp,tm
万  科Ａ,sz000002,6.94,6.83,6.83,1.61,7.14,6.83,3.31,4.54,674.32
*ST国华,sz000004,10.47,10.76,10.8,-2.7,10.89,10.38,5.12,4.74,13.22
深振业Ａ,sz000006,7.65,7.58,7.57,0.92,7.7,7.5,3.12,2.64,103.27
ST星源,sz000005,0.83,0.83,0,0,0,0,0,0,8.78
全新好,sz000007,7.57,7.63,7.63,-0.79,7.76,7.56,1.47,2.62,26.23
深物业A,sz000011,9.23,9.17,9.14,0.65,9.31,9.11,1.97,2.18,48.59
神州高铁,sz000008,2.87,2.84,2.84,1.06,2.89,2.83,2.33,2.11,77.96
中国宝安,sz000009,11.38,10.97,10.97,3.74,11.55,10.54,5.23,9.21,293.15
美丽生态,sz000010,4.76,4.62,4.62,3.03,4.92,4.59,7.87,7.14,37.2
南  玻Ａ,sz000012,4.78,4.77,4.77,0.21,4.81,4.75,0.96,1.26,93.66
沙河股份,sz000014,15.49,15.18,15.15,2.04,15.64,15.07,6.19,3.75,37.49
深康佳Ａ,sz000016,5.53,5.4,5.51,2.41,5.72,5.5,6.38,4.07,88.29
深粮控股,sz000019,6.91,6.94,6.94,-0.43,6.95,6.9,1.23,0.72,28.76
深中华A,sz000017,7.2,7.13,7.11,0.98,7.33,7.04,16.86,4.07,21.81
深华发Ａ,sz000020,13.83,13.9,13.91,-0.5,13.94,13.75,1.09,1.37,25.06
深科技,sz000021,21.8,20.77,20.61,4.96,22.67,20.53,9.01,10.3,341.61
特  力Ａ,sz000025,18.51,18.61,18.62,-0.54,18.83,18.48,3.76,1.88,72.7
*ST深天,sz000023,1.72,1.72,0,0,0,0,0,0,2.38
深圳能源,sz000027,6.55,6.59,6.59,-0.61,6.6,6.54,0.39,0.91,311.61
飞亚达,sz000026,17.08,17.03,17.1,0.29,17.13,16.81,2.09,1.88,62.27
国药一致,sz000028,25.76,25.79,25.78,-0.12,25.87,25.71,0.66,0.62,123.15
深深房Ａ,sz000029,28.12,27.95,28.3,0.61,28.87,27.85,0.66,3.65,250.73
大悦城,sz000031,3.41,3.33,3.33,2.4,3.43,3.31,0.77,3.6,146.16
富奥股份,sz000030,5.55,5.66,5.66,-1.94,5.67,5.54,0.97,2.3,92.74
深桑达Ａ,sz000032,23.39,23.27,23.68,0.52,24.49,23.38,3.89,4.77,254.8
中国天楹,sz000035,4.94,5.21,5.18,-5.18,5.18,4.94,4.95,4.61,119.84
神州数码,sz000034,43.88,44.76,44.33,-1.97,45.45,43.86,8.91,3.55,263.98
深南电A,sz000037,8.85,8.85,8.86,0,8.91,8.82,1.56,1.02,29.99
华联控股,sz000036,4.35,4.21,4.21,3.33,4.41,4.18,2.74,5.46,60.95
中集集团,sz000039,8.04,7.94,7.94,1.26,8.17,7.9,2.64,3.4,185.03
*ST旭蓝,sz000040,0.49,0.49,0,0,0,0,0,0,5.17
中洲控股,sz000042,8.71,8.6,8.56,1.28,8.9,8.54,1.46,4.19,57.85
深纺织Ａ,sz000045,11.32,11.4,11.4,-0.7,11.41,11.27,1.94,1.23,51.73
京基智农,sz000048,17.19,16.52,16.56,4.06,17.72,16.55,7.15,7.08,90.48
德赛电池,sz000049,25.88,25.68,25.83,0.78,26.26,25.45,4.42,3.15,99.52
方大集团,sz000055,4.4,4.42,4.42,-0.45,4.44,4.38,1.74,1.36,29.74
深天马Ａ,sz000050,9.75,9.77,9.74,-0.2,9.83,9.65,0.96,1.84,239.63
皇庭国际,sz000056,2.9,2.91,2.88,-0.34,2.99,2.88,13.07,3.78,26.21
华锦股份,sz000059,5.31,5.33,5.33,-0.38,5.38,5.27,1.27,2.06,84.93
深 赛 格,sz000058,9.45,9.47,9.45,-0.21,9.54,9.4,0.95,1.48,93.06
中金岭南,sz000060,5.53,5.33,5.35,3.75,5.6,5.33,4.46,5.07,206.69
农 产 品,sz000061,9.26,9.22,9.49,0.43,9.65,9.16,3.03,5.31,157.14
深圳华强,sz000062,31.25,31.21,31.21,0.13,31.88,30.84,4.03,3.33,326.54
中兴通讯,sz000063,44.08,43.74,43.03,0.78,45.26,43.03,5.5,5.1,1775.26
北方国际,sz000065,11.19,11.2,11.2,-0.09,11.24,11.14,1.26,0.89,109.1
中国长城,sz000066,16.67,16.7,16.6,-0.18,16.93,16.51,3.8,2.51,537.71
华控赛格,sz000068,3.76,3.71,3.72,1.35,3.77,3.7,2.18,1.89,37.85
华侨城Ａ,sz000069,2.48,2.4,2.4,3.33,2.5,2.39,2.51,4.58,171.09
特发信息,sz000070,11.53,10.48,10.68,10.02,11.53,10.65,7.35,8.4,102.46
海王生物,sz000078,2.66,2.6,2.6,2.31,2.67,2.59,1.86,3.08,69.86
盐 田 港,sz000088,4.47,4.48,4.48,-0.22,4.5,4.45,1.73,1.12,141.38
天健集团,sz000090,3.79,3.75,3.76,1.07,3.82,3.74,2.24,2.13,70.81
中信海直,sz000099,23.32,23.04,22.96,1.22,23.85,22.95,3.5,3.91,180.91
广聚能源,sz000096,11.68,11.77,11.76,-0.76,11.78,11.67,1.05,0.93,59.67
深圳机场,sz000089,7.11,7.19,7.18,-1.11,7.21,7.09,0.58,1.67,145.81
TCL科技,sz000100,4.41,4.43,4.43,-0.45,4.45,4.38,2.16,1.58,798.07
中成股份,sz000151,12.76,12.83,12.8,-0.55,12.93,12.75,1.68,1.4,39.29
丰原药业,sz000153,6.75,6.82,6.82,-1.03,6.83,6.73,1.68,1.47,30.53
川能动力,sz000155,10.65,10.33,10.36,3.1,10.81,10.24,3.62,5.52,196.62
华数传媒,sz000156,8.25,8.21,8.2,0.49,8.25,8.18,0.88,0.85,140.24
中联重科,sz000157,7.26,7.35,7.36,-1.22,7.38,7.23,1.81,2.04,513.31
常山北明,sz000158,24.2,24.24,24.24,-0.17,24.5,24.05,3.95,1.86,384.28
国际实业,sz000159,5.85,5.83,5.83,0.34,5.87,5.8,2.7,1.2,28.12
申万宏源,sz000166,5.3,5.38,5.37,-1.49,5.39,5.27,0.46,2.23,1194.38
东方盛虹,sz000301,10.04,10.1,10.2,-0.59,10.23,9.96,0.19,2.67,663.5
潍柴动力,sz000338,14.35,14.62,14.62,-1.85,14.72,14.32,2.6,2.74,715.37
美的集团,sz000333,75.57,77.02,76.95,-1.88,77.69,75.41,0.85,2.96,5236.03
金隅冀东,sz000401,5.02,4.98,4.98,0.8,5.06,4.97,0.58,1.81,132.09
许继电气,sz000400,23.84,23.64,23.73,0.85,24.2,23.32,3.67,3.72,241.19
金 融 街,sz000402,3.33,3.17,3.17,5.05,3.45,3.16,3.88,9.15,99.52
派林生物,sz000403,17.67,17.88,17.84,-1.17,17.86,17.59,1.43,1.51,166.22
长虹华意,sz000404,7.23,7.33,7.33,-1.36,7.33,7.21,1.6,1.64,50.08
胜利股份,sz000407,3.7,3.71,3.69,-0.27,3.72,3.68,3.56,1.08,32.4
藏格矿业,sz000408,56.31,55.75,56.26,1,56.98,55.81,0.6,2.1,884.18
云鼎科技,sz000409,11.99,11.93,12,0.5,12.09,11.91,2.77,1.51,50.76
沈阳机床,sz000410,7.18,7.26,7.27,-1.1,7.3,7.16,1.19,1.93,120.69
英特集团,sz000411,11.45,11.58,11.58,-1.12,11.59,11.42,1.37,1.47,36.96
渤海租赁,sz000415,3.64,3.63,3.63,0.28,3.66,3.6,1.15,1.65,196.3
ST旭电,sz000413,0.37,0.37,0,0,0,0,0,0,18.61
*ST民控,sz000416,0.45,0.45,0,0,0,0,0,0,2.39
合百集团,sz000417,6.37,6.35,6.39,0.31,6.49,6.32,4.87,2.68,49.62
通程控股,sz000419,6.18,6.23,6.2,-0.8,6.28,6.14,2.45,2.25,33.59
吉林化纤,sz000420,4.24,4.25,4.25,-0.24,4.28,4.21,2.37,1.65,104.22
南京公用,sz000421,6.46,6.49,6.47,-0.46,6.51,6.46,1.11,0.77,37.1
湖北宜化,sz000422,14.99,14.95,14.9,0.27,15.2,14.66,2.84,3.61,158.56
东阿阿胶,sz000423,48.68,49.06,49.07,-0.77,49.1,48.61,1.38,1,313.02
徐工机械,sz000425,9.7,9.86,9.86,-1.62,9.92,9.67,0.77,2.54,901.05
华天酒店,sz000428,3.79,3.81,3.78,-0.52,3.84,3.76,2.63,2.1,38.62
兴业银锡,sz000426,25.45,23.69,24,7.43,26.06,23.81,5.28,9.5,451.79
粤高速Ａ,sz000429,11.24,11.35,11.36,-0.97,11.42,11.22,0.76,1.76,146.49
ST张家界,sz000430,8.09,8.04,8.07,0.62,8.19,8.02,2.17,2.11,26.84
山东路桥,sz000498,6.27,6.26,6.26,0.16,6.34,6.23,1.34,1.76,90.87
ST晨鸣,sz000488,2.24,2.25,2.25,-0.44,2.26,2.23,1.11,1.33,37.66
武商集团,sz000501,11.04,10.58,10.53,4.35,11.5,10.53,6.71,9.17,84.81
国新健康,sz000503,10.13,10.18,10.17,-0.49,10.43,10.11,1.51,3.14,99.2
*ST生物,sz000504,10.52,10.33,10.33,1.84,10.73,10.26,1.06,4.55,34.62
京粮控股,sz000505,6.73,6.76,6.75,-0.44,6.81,6.72,1.67,1.33,42.56
